"1. Popolazione analizzata"
"Centro";"22,2";"22,5";"23,2"
"Sud";"17,5";"15,0";"15,7"
"Isole";"7,2";"7,0";"6,8"
"Estero";"5,0";"4,8";"5,2"
"7. Retribuzione"
"";"Laureati 2023 a 1 anno";"Laureati 2021 a 3 anni";"Laureati 2019 a 5 anni(1) "
"Retribuzione mensile netta (medie, in euro) ";" ";" ";" ";" "
"Uomini";"1309";"1484";"1608"
"Donne";"1225";"1404";"1513"
"Totale";"1242";"1422";"1535"
"Laureati che non lavoravano alla laurea: retribuzione mensile netta (medie, in euro)";"1195";"1410";"1532"
"8. Utilizzo e richiesta della laurea nell'attuale lavoro"
"";"Laureati 2023 a 1 anno";"Laureati 2021 a 3 anni";"Laureati 2019 a 5 anni(1) "
"Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%)";"41,2";"51,9";"55,5"
"Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%)";" ";" ";" ";" "
"Dal punto di vista economico";"8,6";"10,2";"6,6"
"Nella posizione lavorativa";"22,8";"26,5";"29,6"
"Nelle mansioni svolte";"10,2";"9,2";"9,0"
"Nelle competenze professionali";"57,7";"53,5";"53,2"
"Sotto altri punti di vista";"0,7";"0,7";"1,6"
"Utilizzo delle competenze acquisite con la laurea (%)";" ";" ";" ";" "
"In misura elevata";"51,8";"55,6";"60,1"
"In misura ridotta";"35,5";"34,1";"30,8"
"Per niente";"12,5";"10,2";"9,1"
"Adeguatezza della formazione professionale acquisita all'università (%)";" ";" ";" ";" "
"Molto adeguata";"59,4";"61,5";"64,6"
"Poco adeguata";"30,0";"29,7";"27,3"
"Per niente adeguata";"10,3";"8,7";"8,0"
"Richiesta della laurea per l'attività lavorativa (%)";" ";" ";" ";" "
"Richiesta per legge";"33,1";"45,0";"51,9"
"Non richiesta ma necessaria";"18,2";"16,4";"15,6"
"Non richiesta ma utile";"37,1";"29,7";"25,2"
"Non richiesta né utile";"11,5";"8,7";"7,2"
"9. Efficacia della laurea e soddisfazione per l'attuale lavoro"
"";"Laureati 2023 a 1 anno";"Laureati 2021 a 3 anni";"Laureati 2019 a 5 anni(1) "
"Efficacia della laurea nel lavoro svolto (%) ";" ";" ";" ";" "
"Molto efficace/Efficace";"58,8";"65,8";"71,4"
"Abbastanza efficace";"26,4";"22,2";"18,7"
"Poco/Per nulla efficace";"14,8";"12,0";"9,9"
"Soddisfazione per il lavoro svolto (medie, scala 1-10)";"7,6";"7,8";"8,0"
"Occupati che cercano lavoro (%)";"32,9";"22,9";"18,8"
