"1. Popolazione analizzata"
"Centro";"23,9";"23,0";"22,8"
"Sud";"14,4";"14,5";"16,3"
"Isole";"4,8";"5,7";"5,3"
"Estero";"5,3";"4,8";"5,8"
"7. Retribuzione"
"";"Laureati 2023 a 1 anno";"Laureati 2021 a 3 anni";"Laureati 2019 a 5 anni(1) "
"Retribuzione mensile netta (medie, in euro) ";" ";" ";" ";" "
"Uomini";"1585";"1801";"1991"
"Donne";"1377";"1552";"1711"
"Totale";"1459";"1651";"1824"
"Laureati che non lavoravano alla laurea: retribuzione mensile netta (medie, in euro)";"1390";"1606";"1779"
"8. Utilizzo e richiesta della laurea nell'attuale lavoro"
"";"Laureati 2023 a 1 anno";"Laureati 2021 a 3 anni";"Laureati 2019 a 5 anni(1) "
"Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%)";"48,1";"57,4";"59,4"
"Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%)";" ";" ";" ";" "
"Dal punto di vista economico";"15,3";"14,4";"12,7"
"Nella posizione lavorativa";"29,8";"27,1";"34,8"
"Nelle mansioni svolte";"10,5";"11,5";"10,5"
"Nelle competenze professionali";"44,1";"46,5";"41,8"
"Sotto altri punti di vista";"0,2";"0,5";"0,2"
"Utilizzo delle competenze acquisite con la laurea (%)";" ";" ";" ";" "
"In misura elevata";"47,9";"47,8";"51,2"
"In misura ridotta";"42,8";"43,6";"40,9"
"Per niente";"9,2";"8,6";"7,7"
"Adeguatezza della formazione professionale acquisita all'università (%)";" ";" ";" ";" "
"Molto adeguata";"59,0";"59,2";"61,3"
"Poco adeguata";"33,7";"34,0";"32,6"
"Per niente adeguata";"7,1";"6,6";"5,9"
"Richiesta della laurea per l'attività lavorativa (%)";" ";" ";" ";" "
"Richiesta per legge";"20,8";"27,1";"32,8"
"Non richiesta ma necessaria";"31,6";"29,8";"30,4"
"Non richiesta ma utile";"39,8";"36,9";"31,6"
"Non richiesta né utile";"7,7";"6,1";"5,1"
"9. Efficacia della laurea e soddisfazione per l'attuale lavoro"
"";"Laureati 2023 a 1 anno";"Laureati 2021 a 3 anni";"Laureati 2019 a 5 anni(1) "
"Efficacia della laurea nel lavoro svolto (%) ";" ";" ";" ";" "
"Molto efficace/Efficace";"53,7";"55,7";"60,6"
"Abbastanza efficace";"35,7";"35,3";"31,6"
"Poco/Per nulla efficace";"10,6";"9,0";"7,8"
"Soddisfazione per il lavoro svolto (medie, scala 1-10)";"7,6";"7,7";"7,8"
"Occupati che cercano lavoro (%)";"26,2";"21,8";"19,6"
