"1. Popolazione analizzata"
"Centro";"21,5";"21,8";"21,5"
"Sud";"14,2";"13,6";"14,2"
"Isole";"4,6";"5,3";"4,9"
"Estero";"6,5";"7,2";"8,8"
"7. Retribuzione"
"";"Laureati 2023 a 1 anno";"Laureati 2021 a 3 anni";"Laureati 2019 a 5 anni(1) "
"Retribuzione mensile netta (medie, in euro) ";" ";" ";" ";" "
"Uomini";"1709";"1872";"2109"
"Donne";"1512";"1653";"1837"
"Totale";"1629";"1784";"2001"
"Laureati che non lavoravano alla laurea: retribuzione mensile netta (medie, in euro)";"1590";"1743";"1979"
"8. Utilizzo e richiesta della laurea nell'attuale lavoro"
"";"Laureati 2023 a 1 anno";"Laureati 2021 a 3 anni";"Laureati 2019 a 5 anni(1) "
"Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%)";"55,4";"65,4";"65,5"
"Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%)";" ";" ";" ";" "
"Dal punto di vista economico";"22,5";"20,0";"14,7"
"Nella posizione lavorativa";"33,2";"32,3";"36,1"
"Nelle mansioni svolte";"9,4";"8,7";"11,3"
"Nelle competenze professionali";"34,4";"38,5";"37,8"
"Sotto altri punti di vista";"0,4";"0,5";"-"
"Utilizzo delle competenze acquisite con la laurea (%)";" ";" ";" ";" "
"In misura elevata";"65,5";"63,2";"63,2"
"In misura ridotta";"29,8";"32,7";"32,5"
"Per niente";"4,6";"4,0";"4,2"
"Adeguatezza della formazione professionale acquisita all'università (%)";" ";" ";" ";" "
"Molto adeguata";"74,1";"72,8";"73,5"
"Poco adeguata";"22,5";"24,0";"23,1"
"Per niente adeguata";"3,3";"3,1";"3,2"
"Richiesta della laurea per l'attività lavorativa (%)";" ";" ";" ";" "
"Richiesta per legge";"44,7";"46,2";"47,8"
"Non richiesta ma necessaria";"28,8";"28,6";"29,2"
"Non richiesta ma utile";"22,8";"22,5";"20,3"
"Non richiesta né utile";"3,5";"2,6";"2,5"
"9. Efficacia della laurea e soddisfazione per l'attuale lavoro"
"";"Laureati 2023 a 1 anno";"Laureati 2021 a 3 anni";"Laureati 2019 a 5 anni(1) "
"Efficacia della laurea nel lavoro svolto (%) ";" ";" ";" ";" "
"Molto efficace/Efficace";"73,4";"73,1";"74,2"
"Abbastanza efficace";"21,8";"23,0";"22,1"
"Poco/Per nulla efficace";"4,7";"3,9";"3,7"
"Soddisfazione per il lavoro svolto (medie, scala 1-10)";"7,8";"7,8";"7,9"
"Occupati che cercano lavoro (%)";"19,3";"18,0";"16,1"
