"1. Popolazione analizzata"
"";"Collettivo selezionato (1) ";"Uomini(1) ";"Donne(1) "
"Retribuzione mensile netta (medie, in euro) ";" ";" ";" "
"Uomini";"1608";"1608";"-"
"Donne";"1513";"-";"1513"
"Totale";"1535";"1608";"1513"
"Laureati che non lavoravano alla laurea: retribuzione mensile netta (medie, in euro)";"1532";"1598";"1511"
"8. Utilizzo e richiesta della laurea nell'attuale lavoro"
"";"Collettivo selezionato (1) ";"Uomini(1) ";"Donne(1) "
"Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%)";"55,5";"54,2";"55,9"
"Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%)";" ";" ";" "
"Dal punto di vista economico";"6,6";"8,3";"6,1"
"Nella posizione lavorativa";"29,6";"26,2";"30,6"
"Nelle mansioni svolte";"9,0";"9,5";"8,8"
"Nelle competenze professionali";"53,2";"53,6";"53,1"
"Sotto altri punti di vista";"1,6";"2,4";"1,4"
"Utilizzo delle competenze acquisite con la laurea (%)";" ";" ";" "
"In misura elevata";"60,1";"59,8";"60,2"
"In misura ridotta";"30,8";"30,2";"30,9"
"Per niente";"9,1";"9,8";"8,8"
"Adeguatezza della formazione professionale acquisita all'università (%)";" ";" ";" "
"Molto adeguata";"64,6";"64,0";"64,8"
"Poco adeguata";"27,3";"27,2";"27,3"
"Per niente adeguata";"8,0";"8,7";"7,8"
"Richiesta della laurea per l'attività lavorativa (%)";" ";" ";" "
"Richiesta per legge";"51,9";"51,1";"52,2"
"Non richiesta ma necessaria";"15,6";"15,4";"15,7"
"Non richiesta ma utile";"25,2";"24,2";"25,4"
"Non richiesta né utile";"7,2";"9,1";"6,7"
"9. Efficacia della laurea e soddisfazione per l'attuale lavoro"
"";"Collettivo selezionato (1) ";"Uomini(1) ";"Donne(1) "
"Efficacia della laurea nel lavoro svolto (%) ";" ";" ";" "
"Molto efficace/Efficace";"71,4";"69,7";"72,0"
"Abbastanza efficace";"18,7";"19,0";"18,6"
"Poco/Per nulla efficace";"9,9";"11,3";"9,5"
"Soddisfazione per il lavoro svolto (medie, scala 1-10)";"8,0";"7,9";"8,0"
"Occupati che cercano lavoro (%)";"18,8";"20,5";"18,3"
