"1. Popolazione analizzata"
"";"Collettivo selezionato";"Uomini";"Donne"
"Laureati che non lavoravano alla laurea: retribuzione mensile netta (medie, in euro)";"1390";"1492";"1324"
"8. Utilizzo e richiesta della laurea nell'attuale lavoro"
"";"Collettivo selezionato";"Uomini";"Donne"
"Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%)";"48,1";"49,4";"47,2"
"Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%)";" ";" ";" "
"Dal punto di vista economico";"15,3";"18,1";"13,3"
"Nella posizione lavorativa";"29,8";"28,7";"30,7"
"Nelle mansioni svolte";"10,5";"11,0";"10,2"
"Nelle competenze professionali";"44,1";"42,2";"45,5"
"Sotto altri punti di vista";"0,2";"0,1";"0,3"
"Utilizzo delle competenze acquisite con la laurea (%)";" ";" ";" "
"In misura elevata";"47,9";"49,4";"47,0"
"In misura ridotta";"42,8";"42,7";"42,9"
"Per niente";"9,2";"7,9";"10,0"
"Adeguatezza della formazione professionale acquisita all'università (%)";" ";" ";" "
"Molto adeguata";"59,0";"60,1";"58,4"
"Poco adeguata";"33,7";"33,5";"33,8"
"Per niente adeguata";"7,1";"6,2";"7,7"
"Richiesta della laurea per l'attività lavorativa (%)";" ";" ";" "
"Richiesta per legge";"20,8";"19,5";"21,6"
"Non richiesta ma necessaria";"31,6";"34,5";"29,8"
"Non richiesta ma utile";"39,8";"39,3";"40,1"
"Non richiesta né utile";"7,7";"6,6";"8,4"
"9. Efficacia della laurea e soddisfazione per l'attuale lavoro"
"";"Collettivo selezionato";"Uomini";"Donne"
"Efficacia della laurea nel lavoro svolto (%) ";" ";" ";" "
"Molto efficace/Efficace";"53,7";"54,5";"53,3"
"Abbastanza efficace";"35,7";"36,6";"35,1"
"Poco/Per nulla efficace";"10,6";"8,9";"11,6"
"Soddisfazione per il lavoro svolto (medie, scala 1-10)";"7,6";"7,7";"7,5"
"Occupati che cercano lavoro (%)";"26,2";"23,9";"27,7"
