"1. Popolazione analizzata"
"";"Collettivo selezionato (1) ";"Uomini(1) ";"Donne(1) "
"Retribuzione mensile netta (medie, in euro) ";" ";" ";" "
"Uomini";"1738";"1738";"-"
"Donne";"1617";"-";"1617"
"Totale";"1670";"1738";"1617"
"Laureati che non lavoravano alla laurea: retribuzione mensile netta (medie, in euro)";"1612";"1663";"1569"
"8. Utilizzo e richiesta della laurea nell'attuale lavoro"
"";"Collettivo selezionato (1) ";"Uomini(1) ";"Donne(1) "
"Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%)";"55,3";"59,5";"52,6"
"Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%)";" ";" ";" "
"Dal punto di vista economico";"7,6";"11,8";"4,6"
"Nella posizione lavorativa";"21,9";"20,2";"23,2"
"Nelle mansioni svolte";"13,5";"12,3";"14,4"
"Nelle competenze professionali";"56,6";"55,2";"57,5"
"Sotto altri punti di vista";"0,4";"0,5";"0,4"
"Utilizzo delle competenze acquisite con la laurea (%)";" ";" ";" "
"In misura elevata";"55,5";"60,4";"51,5"
"In misura ridotta";"34,9";"31,4";"37,7"
"Per niente";"9,5";"8,1";"10,7"
"Adeguatezza della formazione professionale acquisita all'università (%)";" ";" ";" "
"Molto adeguata";"67,5";"68,3";"66,9"
"Poco adeguata";"26,6";"25,7";"27,2"
"Per niente adeguata";"5,7";"5,9";"5,6"
"Richiesta della laurea per l'attività lavorativa (%)";" ";" ";" "
"Richiesta per legge";"40,7";"45,8";"36,8"
"Non richiesta ma necessaria";"18,0";"19,2";"17,1"
"Non richiesta ma utile";"32,9";"29,1";"35,9"
"Non richiesta né utile";"8,3";"5,9";"10,1"
"9. Efficacia della laurea e soddisfazione per l'attuale lavoro"
"";"Collettivo selezionato (1) ";"Uomini(1) ";"Donne(1) "
"Efficacia della laurea nel lavoro svolto (%) ";" ";" ";" "
"Molto efficace/Efficace";"65,6";"70,8";"61,5"
"Abbastanza efficace";"23,2";"20,7";"25,3"
"Poco/Per nulla efficace";"11,1";"8,6";"13,2"
"Soddisfazione per il lavoro svolto (medie, scala 1-10)";"7,9";"8,0";"7,8"
"Occupati che cercano lavoro (%)";"16,3";"14,1";"18,0"
