"1. Popolazione analizzata"
"";"Collettivo selezionato (1) ";"Uomini(1) ";"Donne(1) "
"Retribuzione mensile netta (medie, in euro) ";" ";" ";" "
"Uomini";"1991";"1991";"-"
"Donne";"1711";"-";"1711"
"Totale";"1824";"1991";"1711"
"Laureati che non lavoravano alla laurea: retribuzione mensile netta (medie, in euro)";"1779";"1923";"1684"
"8. Utilizzo e richiesta della laurea nell'attuale lavoro"
"";"Collettivo selezionato (1) ";"Uomini(1) ";"Donne(1) "
"Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%)";"59,4";"62,4";"56,9"
"Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%)";" ";" ";" "
"Dal punto di vista economico";"12,7";"15,2";"10,4"
"Nella posizione lavorativa";"34,8";"32,8";"36,6"
"Nelle mansioni svolte";"10,5";"12,4";"8,8"
"Nelle competenze professionali";"41,8";"39,4";"44,0"
"Sotto altri punti di vista";"0,2";"0,3";"0,2"
"Utilizzo delle competenze acquisite con la laurea (%)";" ";" ";" "
"In misura elevata";"51,2";"50,9";"51,4"
"In misura ridotta";"40,9";"42,3";"40,1"
"Per niente";"7,7";"6,7";"8,4"
"Adeguatezza della formazione professionale acquisita all'università (%)";" ";" ";" "
"Molto adeguata";"61,3";"61,2";"61,4"
"Poco adeguata";"32,6";"32,9";"32,4"
"Per niente adeguata";"5,9";"5,7";"6,0"
"Richiesta della laurea per l'attività lavorativa (%)";" ";" ";" "
"Richiesta per legge";"32,8";"27,0";"36,7"
"Non richiesta ma necessaria";"30,4";"34,9";"27,4"
"Non richiesta ma utile";"31,6";"32,8";"30,7"
"Non richiesta né utile";"5,1";"5,2";"5,0"
"9. Efficacia della laurea e soddisfazione per l'attuale lavoro"
"";"Collettivo selezionato (1) ";"Uomini(1) ";"Donne(1) "
"Efficacia della laurea nel lavoro svolto (%) ";" ";" ";" "
"Molto efficace/Efficace";"60,6";"58,7";"62,0"
"Abbastanza efficace";"31,6";"34,1";"29,8"
"Poco/Per nulla efficace";"7,8";"7,2";"8,2"
"Soddisfazione per il lavoro svolto (medie, scala 1-10)";"7,8";"7,8";"7,8"
"Occupati che cercano lavoro (%)";"19,6";"18,7";"20,2"
