"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"Uomini";"Donne"
"2° anno fuori corso";"-";"-";"-"
"3° anno fuori corso";"-";"-";"-"
"4° anno fuori corso";"-";"-";"-"
"5° anno fuori corso e oltre";"-";"-";"-"
"Durata degli studi (medie, in anni; per 100 con titolo in Atenei non telematici)";"2,8";"2,9";"2,8"
"Durata degli studi (medie, in anni; per 100 con titolo in Atenei telematici)";"-";"-";"-"
"Ritardo alla laurea (medie, in anni; per 100 con titolo in Atenei non telematici)";"0,8";"0,9";"0,8"
"Ritardo alla laurea (medie, in anni; per 100 con titolo in Atenei telematici)";"-";"-";"-"
"Indice di ritardo (rapporto fra ritardo e durata normale del corso; per 100 con titolo in Atenei non telematici)";"0,42";"0,45";"0,39"
"Indice di ritardo (rapporto fra ritardo e durata normale del corso; per 100 con titolo in Atenei telematici)";"-";"-";"-"
"5. CONDIZIONI DI STUDIO"
"";"Collettivo selezionato";"Uomini";"Donne"
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%)";"";"";""
"Più del 50% della durata degli studi";"68,5";"71,3";"64,8"
"Meno del 50%";"26,9";"25,3";"28,9"
"Hanno frequentato regolarmente (%)";"";"";""
"Più del 75% degli insegnamenti previsti";"75,2";"76,0";"74,1"
"Tra il 50% e il 75%";"13,9";"13,7";"14,2"
"Tra il 25% e il 50%";"4,3";"4,5";"4,0"
"Meno del 25%";"3,0";"3,3";"2,6"
"Hanno usufruito del servizio di borse di studio offerto dall'organismo per il Diritto allo Studio";"27,2";"26,9";"27,5"
"Hanno svolto periodi di studio all'estero durante il corso magistrale (%)";"15,5";"16,4";"14,3"
"Hanno svolto periodi di studio all’estero riconosciuti dal corso di studio";"14,8";"15,6";"13,7"
"Con Erasmus o altro programma dell'Unione Europea";"10,1";"10,6";"9,5"
"Altra esperienza riconosciuta dal corso di studio";"4,7";"5,0";"4,2"
"Hanno svolto periodi di studio all’estero riconosciuti solo nel precedente corso di studio";"2,7";"2,3";"3,2"
"1 o più esami all'estero convalidati (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso che stanno concludendo)";"58,1";"60,1";"55,2"
"Hanno preparato all'estero una parte significativa della tesi (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso che stanno concludendo)";"55,7";"54,6";"57,4"
"Hanno svolto tirocini formativi curriculari o lavoro riconosciuti dal corso di laurea magistrale (%)";"63,4";"58,5";"69,8"
"Tirocini curriculari organizzati dal corso e svolti presso l'universita'";"22,1";"18,3";"27,0"
"Tirocini curriculari organizzati dal corso e svolti al di fuori dell'universita'";"30,5";"28,6";"33,0"
"Attivita' di lavoro successivamente riconosciute dal corso";"10,5";"11,3";"9,5"
"Hanno svolto tirocini formativi curriculari o lavoro riconosciuti solo nel precedente corso di studio";"12,3";"13,1";"11,3"
"Tempo impiegato per la tesi/prova finale (medie, in mesi)";"6,2";"6,2";"6,2"
"6. LAVORO DURANTE GLI STUDI UNIVERSITARI"
"";"Collettivo selezionato";"Uomini";"Donne"
"Hanno avuto esperienze di lavoro (%)";"57,8";"57,7";"58,0"
"Lavoratori-studenti";"5,4";"5,9";"4,7"
"Altre esperienze di lavoro con continuita' a tempo pieno";"4,9";"5,7";"3,8"
"Lavoro a tempo parziale";"16,8";"16,7";"17,1"
"Lavoro occasionale, saltuario, stagionale";"30,7";"29,4";"32,4"
"Nessuna esperienza di lavoro";"41,8";"41,9";"41,6"
"Hanno ritenuto difficile conciliare studio e lavoro (per 100 che hanno avuto esperienze di lavoro con continuita' a tempo pieno o parziale)";"";"";""
