ANNO;AteneoCOD;AteneoNOME;AteneoREGIONE;AteneoAREAGEO;CorsoTIPO;COD_FoET2013;DESC_FoET2013;Genere;LAU
2024;TTTTT;TOTALE ATENEI;15;ITALIA;Vecchio Ordinamento;02;Arts and humanities;M;15
2024;TTTTT;TOTALE ATENEI;22;ITALIA;Vecchio Ordinamento;03;Social sciences, journalism and information;F;22
2024;TTTTT;TOTALE ATENEI;17;ITALIA;Vecchio Ordinamento;03;Social sciences, journalism and information;M;17
2024;TTTTT;TOTALE ATENEI;69;ITALIA;Vecchio Ordinamento;04;Business, administration and law;F;69
2024;TTTTT;TOTALE ATENEI;36;ITALIA;Vecchio Ordinamento;04;Business, administration and law;M;36
2024;TTTTT;TOTALE ATENEI;22;ITALIA;Vecchio Ordinamento;05;Natural sciences, mathematics and statistics;F;22
2024;TTTTT;TOTALE ATENEI;12;ITALIA;Vecchio Ordinamento;05;Natural sciences, mathematics and statistics;M;12
2024;TTTTT;TOTALE ATENEI;3;ITALIA;Vecchio Ordinamento;06;Information and Communication Technologies (ICTs);M;3
2024;TTTTT;TOTALE ATENEI;10;ITALIA;Vecchio Ordinamento;07;Engineering, manufacturing and construction;F;10
2024;TTTTT;TOTALE ATENEI;23;ITALIA;Vecchio Ordinamento;07;Engineering, manufacturing and construction;M;23
2024;TTTTT;TOTALE ATENEI;6;ITALIA;Vecchio Ordinamento;08;Agriculture, forestry, fisheries and veterinary;F;6
2024;TTTTT;TOTALE ATENEI;3;ITALIA;Vecchio Ordinamento;08;Agriculture, forestry, fisheries and veterinary;M;3
2024;TTTTT;TOTALE ATENEI;11;ITALIA;Vecchio Ordinamento;09;Health and welfare;F;11
2024;TTTTT;TOTALE ATENEI;8;ITALIA;Vecchio Ordinamento;09;Health and welfare;M;8
2024;TTTTT;TOTALE ATENEI;1;ITALIA;Vecchio Ordinamento;10;Services;F;1
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;01;Education;F;307
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;01;Education;M;19
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;02;Arts and humanities;F;900
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;02;Arts and humanities;M;314
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;03;Social sciences, journalism and information;F;1464
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;03;Social sciences, journalism and information;M;712
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;04;Business, administration and law;F;889
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;04;Business, administration and law;M;741
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;05;Natural sciences, mathematics and statistics;F;443
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;05;Natural sciences, mathematics and statistics;M;349
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;06;Information and Communication Technologies (ICTs);F;38
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;06;Information and Communication Technologies (ICTs);M;207
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;08;Agriculture, forestry, fisheries and veterinary;F;143
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;08;Agriculture, forestry, fisheries and veterinary;M;168
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;09;Health and welfare;F;815
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;09;Health and welfare;M;210
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;10;Services;F;297
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;10;Services;M;305
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;01;Education;F;124
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;01;Education;M;9
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;02;Arts and humanities;F;744
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;02;Arts and humanities;M;256
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;03;Social sciences, journalism and information;F;1191
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;03;Social sciences, journalism and information;M;603
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;04;Business, administration and law;F;332
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;04;Business, administration and law;M;313
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;05;Natural sciences, mathematics and statistics;F;536
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;05;Natural sciences, mathematics and statistics;M;388
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;06;Information and Communication Technologies (ICTs);F;26
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;06;Information and Communication Technologies (ICTs);M;71
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;07;Engineering, manufacturing and construction;F;10
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;07;Engineering, manufacturing and construction;M;29
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;08;Agriculture, forestry, fisheries and veterinary;F;74
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;08;Agriculture, forestry, fisheries and veterinary;M;106
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;09;Health and welfare;F;145
