ANNO;AteneoCOD;AteneoNOME;AteneoREGIONE;AteneoAREAGEO;CorsoTIPO;COD_FoET2013;DESC_FoET2013;Genere;ISC
2023/2024;05601;Viterbo - Università della Tuscia;Lazio;CENTRO;Laurea;07;Engineering, manufacturing and construction;F;113
2023/2024;05601;Viterbo - Università della Tuscia;Lazio;CENTRO;Laurea;05;Natural sciences, mathematics and statistics;M;367
2023/2024;05601;Viterbo - Università della Tuscia;Lazio;CENTRO;Laurea Magistrale;04;Business, administration and law;M;129
2023/2024;05601;Viterbo - Università della Tuscia;Lazio;CENTRO;Laurea;07;Engineering, manufacturing and construction;M;306
2023/2024;05601;Viterbo - Università della Tuscia;Lazio;CENTRO;Laurea;04;Business, administration and law;M;348
2023/2024;05601;Viterbo - Università della Tuscia;Lazio;CENTRO;Laurea Magistrale;08;Agriculture, forestry, fisheries and veterinary;M;204
2023/2024;05601;Viterbo - Università della Tuscia;Lazio;CENTRO;Laurea;02;Arts and humanities;M;231
2023/2024;05601;Viterbo - Università della Tuscia;Lazio;CENTRO;Laurea Magistrale;02;Arts and humanities;M;78
2023/2024;05601;Viterbo - Università della Tuscia;Lazio;CENTRO;Laurea;05;Natural sciences, mathematics and statistics;F;818
2023/2024;05601;Viterbo - Università della Tuscia;Lazio;CENTRO;Laurea;10;Services;F;46
2023/2024;05601;Viterbo - Università della Tuscia;Lazio;CENTRO;Laurea Magistrale;05;Natural sciences, mathematics and statistics;M;97
2023/2024;05601;Viterbo - Università della Tuscia;Lazio;CENTRO;Laurea Magistrale Ciclo Unico;04;Business, administration and law;F;217
2023/2024;05601;Viterbo - Università della Tuscia;Lazio;CENTRO;Laurea;01;Education;F;82
2023/2024;05601;Viterbo - Università della Tuscia;Lazio;CENTRO;Laurea;08;Agriculture, forestry, fisheries and veterinary;M;563
2023/2024;05601;Viterbo - Università della Tuscia;Lazio;CENTRO;Laurea Magistrale;07;Engineering, manufacturing and construction;F;8
2023/2024;05601;Viterbo - Università della Tuscia;Lazio;CENTRO;Laurea Magistrale;07;Engineering, manufacturing and construction;M;74
2023/2024;05601;Viterbo - Università della Tuscia;Lazio;CENTRO;Laurea Magistrale;03;Social sciences, journalism and information;M;146
2023/2024;05601;Viterbo - Università della Tuscia;Lazio;CENTRO;Laurea Magistrale Ciclo Unico;02;Arts and humanities;M;4
2023/2024;05601;Viterbo - Università della Tuscia;Lazio;CENTRO;Laurea Magistrale Ciclo Unico;04;Business, administration and law;M;99
2023/2024;05601;Viterbo - Università della Tuscia;Lazio;CENTRO;Laurea Magistrale;04;Business, administration and law;F;120
2023/2024;05601;Viterbo - Università della Tuscia;Lazio;CENTRO;Laurea;02;Arts and humanities;F;648
2023/2024;05601;Viterbo - Università della Tuscia;Lazio;CENTRO;Laurea Magistrale;06;Information and Communication Technologies (ICTs);M;23
2023/2024;05601;Viterbo - Università della Tuscia;Lazio;CENTRO;Laurea;10;Services;M;149
2023/2024;05601;Viterbo - Università della Tuscia;Lazio;CENTRO;Laurea;01;Education;M;4
2023/2024;05601;Viterbo - Università della Tuscia;Lazio;CENTRO;Laurea Magistrale;02;Arts and humanities;F;262
2023/2024;05601;Viterbo - Università della Tuscia;Lazio;CENTRO;Laurea Magistrale;08;Agriculture, forestry, fisheries and veterinary;F;131
2023/2024;05601;Viterbo - Università della Tuscia;Lazio;CENTRO;Laurea Magistrale;06;Information and Communication Technologies (ICTs);F;28
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea Magistrale;07;Engineering, manufacturing and construction;F;2240
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea;06;Information and Communication Technologies (ICTs);F;331
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Vecchio Ordinamento;07;Engineering, manufacturing and construction;F;98
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea Magistrale;07;Engineering, manufacturing and construction;M;3672
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea;06;Information and Communication Technologies (ICTs);M;1983
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea Magistrale Ciclo Unico;04;Business, administration and law;M;1664
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea Magistrale;06;Information and Communication Technologies (ICTs);M;638
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Vecchio Ordinamento;09;Health and welfare;F;114
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea Magistrale;05;Natural sciences, mathematics and statistics;M;1684
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea;07;Engineering, manufacturing and construction;F;3445
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea;01;Education;F;343
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea;02;Arts and humanities;F;9972
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Vecchio Ordinamento;06;Information and Communication Technologies (ICTs);M;4
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea Magistrale;05;Natural sciences, mathematics and statistics;F;1909
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Vecchio Ordinamento;09;Health and welfare;M;60
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea Magistrale;02;Arts and humanities;F;3765
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea;07;Engineering, manufacturing and construction;M;6803
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Vecchio Ordinamento;05;Natural sciences, mathematics and statistics;M;54
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea;09;Health and welfare;M;3239
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Vecchio Ordinamento;07;Engineering, manufacturing and construction;M;218
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea;03;Social sciences, journalism and information;F;7792
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea;02;Arts and humanities;M;4613
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Vecchio Ordinamento;02;Arts and humanities;F;156
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea Magistrale;08;Agriculture, forestry, fisheries and veterinary;M;18
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea;10;Services;F;342
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea;03;Social sciences, journalism and information;M;4816
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Vecchio Ordinamento;04;Business, administration and law;M;126
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Vecchio Ordinamento;03;Social sciences, journalism and information;M;88
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea Magistrale Ciclo Unico;07;Engineering, manufacturing and construction;M;938
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea Magistrale;04;Business, administration and law;F;1886
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea Magistrale;03;Social sciences, journalism and information;F;4727
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea;01;Education;M;26
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea;04;Business, administration and law;F;2191
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea;05;Natural sciences, mathematics and statistics;F;4336
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea Magistrale Ciclo Unico;09;Health and welfare;F;7631
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea Magistrale;06;Information and Communication Technologies (ICTs);F;180
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea Magistrale;02;Arts and humanities;M;1594
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea Magistrale Ciclo Unico;01;Education;M;31
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea;04;Business, administration and law;M;2383
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea Magistrale;09;Health and welfare;M;213
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea Magistrale Ciclo Unico;09;Health and welfare;M;4053
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea Magistrale;04;Business, administration and law;M;1817
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea Magistrale Ciclo Unico;01;Education;F;377
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea;05;Natural sciences, mathematics and statistics;M;3875
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea Magistrale;09;Health and welfare;F;643
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea;09;Health and welfare;F;7571
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Vecchio Ordinamento;03;Social sciences, journalism and information;F;246
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea Magistrale;03;Social sciences, journalism and information;M;2074
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea Magistrale Ciclo Unico;04;Business, administration and law;F;3615
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Vecchio Ordinamento;04;Business, administration and law;F;276
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea Magistrale;01;Education;F;77
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea Magistrale Ciclo Unico;07;Engineering, manufacturing and construction;F;1624
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea Magistrale;08;Agriculture, forestry, fisheries and veterinary;F;34
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea Magistrale;01;Education;M;6
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Laurea;10;Services;M;141
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Vecchio Ordinamento;02;Arts and humanities;M;44
2023/2024;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;Vecchio Ordinamento;05;Natural sciences, mathematics and statistics;F;76
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea;06;Information and Communication Technologies (ICTs);M;469
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea;07;Engineering, manufacturing and construction;M;2647
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea;02;Arts and humanities;F;1118
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea Magistrale;02;Arts and humanities;F;559
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea Magistrale;10;Services;F;559
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea Magistrale;04;Business, administration and law;M;473
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea Magistrale Ciclo Unico;09;Health and welfare;F;1626
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea Magistrale Ciclo Unico;09;Health and welfare;M;972
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Vecchio Ordinamento;04;Business, administration and law;F;19
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea Magistrale;04;Business, administration and law;F;475
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea;02;Arts and humanities;M;556
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea;07;Engineering, manufacturing and construction;F;1253
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea Magistrale;03;Social sciences, journalism and information;F;232
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea Magistrale Ciclo Unico;02;Arts and humanities;M;5
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea;03;Social sciences, journalism and information;M;1454
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea Magistrale;10;Services;M;379
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea;06;Information and Communication Technologies (ICTs);F;62
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea;09;Health and welfare;M;1291
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea Magistrale Ciclo Unico;04;Business, administration and law;F;749
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea Magistrale;09;Health and welfare;M;279
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea Magistrale;07;Engineering, manufacturing and construction;M;671
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea;04;Business, administration and law;M;1118
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea Magistrale Ciclo Unico;02;Arts and humanities;F;26
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea;03;Social sciences, journalism and information;F;2574
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea Magistrale;06;Information and Communication Technologies (ICTs);F;2
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea;09;Health and welfare;F;3091
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea Magistrale;03;Social sciences, journalism and information;M;302
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea Magistrale;01;Education;M;9
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea Magistrale Ciclo Unico;07;Engineering, manufacturing and construction;M;54
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea Magistrale;06;Information and Communication Technologies (ICTs);M;18
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea Magistrale;05;Natural sciences, mathematics and statistics;M;369
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea Magistrale Ciclo Unico;07;Engineering, manufacturing and construction;F;128
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Vecchio Ordinamento;04;Business, administration and law;M;10
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea Magistrale;09;Health and welfare;F;449
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea;01;Education;F;1035
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea Magistrale;07;Engineering, manufacturing and construction;F;299
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea Magistrale;02;Arts and humanities;M;216
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea;04;Business, administration and law;F;879
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea;01;Education;M;67
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea;05;Natural sciences, mathematics and statistics;M;755
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea;05;Natural sciences, mathematics and statistics;F;1227
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea Magistrale;01;Education;F;159
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea;10;Services;F;324
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea Magistrale Ciclo Unico;04;Business, administration and law;M;500
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea;10;Services;M;587
2023/2024;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;Laurea Magistrale;05;Natural sciences, mathematics and statistics;F;567
2023/2024;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);Lazio;CENTRO;Laurea;02;Arts and humanities;F;156
2023/2024;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);Lazio;CENTRO;Laurea;02;Arts and humanities;M;31
2023/2024;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);Lazio;CENTRO;Laurea Magistrale Ciclo Unico;04;Business, administration and law;M;449
2023/2024;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);Lazio;CENTRO;Laurea;03;Social sciences, journalism and information;F;2088
2023/2024;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);Lazio;CENTRO;Laurea Magistrale;06;Information and Communication Technologies (ICTs);M;16
2023/2024;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);Lazio;CENTRO;Laurea Magistrale;01;Education;M;5
2023/2024;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);Lazio;CENTRO;Laurea;09;Health and welfare;F;175
2023/2024;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);Lazio;CENTRO;Laurea Magistrale;04;Business, administration and law;M;182
2023/2024;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);Lazio;CENTRO;Laurea;06;Information and Communication Technologies (ICTs);F;10
2023/2024;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);Lazio;CENTRO;Laurea Magistrale;04;Business, administration and law;F;126
2023/2024;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);Lazio;CENTRO;Laurea Magistrale;03;Social sciences, journalism and information;F;1389
2023/2024;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);Lazio;CENTRO;Laurea Magistrale;09;Health and welfare;F;130
2023/2024;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);Lazio;CENTRO;Laurea;01;Education;F;159
2023/2024;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);Lazio;CENTRO;Laurea;04;Business, administration and law;M;361
2023/2024;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);Lazio;CENTRO;Vecchio Ordinamento;01;Education;F;4
2023/2024;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);Lazio;CENTRO;Laurea Magistrale Ciclo Unico;01;Education;F;1035
2023/2024;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);Lazio;CENTRO;Laurea;03;Social sciences, journalism and information;M;1023
2023/2024;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);Lazio;CENTRO;Laurea Magistrale;01;Education;F;62
2023/2024;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);Lazio;CENTRO;Laurea;06;Information and Communication Technologies (ICTs);M;51
2023/2024;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);Lazio;CENTRO;Laurea;04;Business, administration and law;F;193
2023/2024;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);Lazio;CENTRO;Laurea Magistrale Ciclo Unico;01;Education;M;61
2023/2024;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);Lazio;CENTRO;Laurea Magistrale;06;Information and Communication Technologies (ICTs);F;63
2023/2024;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);Lazio;CENTRO;Laurea Magistrale;09;Health and welfare;M;13
2023/2024;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);Lazio;CENTRO;Laurea Magistrale Ciclo Unico;04;Business, administration and law;F;716
2023/2024;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);Lazio;CENTRO;Laurea;09;Health and welfare;M;25
2023/2024;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);Lazio;CENTRO;Laurea;01;Education;M;14
2023/2024;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);Lazio;CENTRO;Laurea Magistrale;03;Social sciences, journalism and information;M;373
2023/2024;05805;Roma - Luiss Libera Università internazionale degli studi sociali Guido Carli;Lazio;CENTRO;Vecchio Ordinamento;04;Business, administration and law;M;10
2023/2024;05805;Roma - Luiss Libera Università internazionale degli studi sociali Guido Carli;Lazio;CENTRO;Laurea;04;Business, administration and law;M;1922
2023/2024;05805;Roma - Luiss Libera Università internazionale degli studi sociali Guido Carli;Lazio;CENTRO;Laurea;04;Business, administration and law;F;1156
2023/2024;05805;Roma - Luiss Libera Università internazionale degli studi sociali Guido Carli;Lazio;CENTRO;Laurea Magistrale;03;Social sciences, journalism and information;F;466
2023/2024;05805;Roma - Luiss Libera Università internazionale degli studi sociali Guido Carli;Lazio;CENTRO;Vecchio Ordinamento;04;Business, administration and law;F;4
2023/2024;05805;Roma - Luiss Libera Università internazionale degli studi sociali Guido Carli;Lazio;CENTRO;Laurea Magistrale;03;Social sciences, journalism and information;M;561
2023/2024;05805;Roma - Luiss Libera Università internazionale degli studi sociali Guido Carli;Lazio;CENTRO;Laurea Magistrale Ciclo Unico;04;Business, administration and law;F;1710
2023/2024;05805;Roma - Luiss Libera Università internazionale degli studi sociali Guido Carli;Lazio;CENTRO;Laurea Magistrale Ciclo Unico;04;Business, administration and law;M;1022
2023/2024;05805;Roma - Luiss Libera Università internazionale degli studi sociali Guido Carli;Lazio;CENTRO;Laurea Magistrale;04;Business, administration and law;M;1301
2023/2024;05805;Roma - Luiss Libera Università internazionale degli studi sociali Guido Carli;Lazio;CENTRO;Laurea Magistrale;04;Business, administration and law;F;1097
2023/2024;05805;Roma - Luiss Libera Università internazionale degli studi sociali Guido Carli;Lazio;CENTRO;Laurea Magistrale;06;Information and Communication Technologies (ICTs);M;70
2023/2024;05805;Roma - Luiss Libera Università internazionale degli studi sociali Guido Carli;Lazio;CENTRO;Laurea Magistrale;06;Information and Communication Technologies (ICTs);F;34
2023/2024;05805;Roma - Luiss Libera Università internazionale degli studi sociali Guido Carli;Lazio;CENTRO;Laurea;03;Social sciences, journalism and information;F;935
2023/2024;05805;Roma - Luiss Libera Università internazionale degli studi sociali Guido Carli;Lazio;CENTRO;Laurea;03;Social sciences, journalism and information;M;788
2023/2024;05806;"Roma - Università degli studi del ""Foro Italico""";Lazio;CENTRO;Laurea Magistrale;10;Services;F;86
2023/2024;05806;"Roma - Università degli studi del ""Foro Italico""";Lazio;CENTRO;Laurea Magistrale;10;Services;M;264
2023/2024;05806;"Roma - Università degli studi del ""Foro Italico""";Lazio;CENTRO;Laurea Magistrale;09;Health and welfare;M;105
2023/2024;05806;"Roma - Università degli studi del ""Foro Italico""";Lazio;CENTRO;Laurea;10;Services;M;1382
2023/2024;05806;"Roma - Università degli studi del ""Foro Italico""";Lazio;CENTRO;Laurea;10;Services;F;442
2023/2024;05806;"Roma - Università degli studi del ""Foro Italico""";Lazio;CENTRO;Laurea Magistrale;09;Health and welfare;F;100
2023/2024;05807;Roma - III Università degli studi;Lazio;CENTRO;Laurea Magistrale;05;Natural sciences, mathematics and statistics;F;231
2023/2024;05807;Roma - III Università degli studi;Lazio;CENTRO;Laurea;05;Natural sciences, mathematics and statistics;F;698
2023/2024;05807;Roma - III Università degli studi;Lazio;CENTRO;Laurea Magistrale Ciclo Unico;01;Education;M;100
2023/2024;05807;Roma - III Università degli studi;Lazio;CENTRO;Laurea Magistrale Ciclo Unico;04;Business, administration and law;M;1149
2023/2024;05807;Roma - III Università degli studi;Lazio;CENTRO;Laurea;01;Education;M;209
2023/2024;05807;Roma - III Università degli studi;Lazio;CENTRO;Laurea;04;Business, administration and law;M;1627
2023/2024;05807;Roma - III Università degli studi;Lazio;CENTRO;Laurea Magistrale;01;Education;M;61
2023/2024;05807;Roma - III Università degli studi;Lazio;CENTRO;Laurea Magistrale;07;Engineering, manufacturing and construction;F;372
2023/2024;05807;Roma - III Università degli studi;Lazio;CENTRO;Laurea Magistrale;02;Arts and humanities;F;1189
2023/2024;05807;Roma - III Università degli studi;Lazio;CENTRO;Laurea;07;Engineering, manufacturing and construction;M;2623
2023/2024;05807;Roma - III Università degli studi;Lazio;CENTRO;Laurea Magistrale;03;Social sciences, journalism and information;F;812
2023/2024;05807;Roma - III Università degli studi;Lazio;CENTRO;Laurea Magistrale Ciclo Unico;04;Business, administration and law;F;2244
2023/2024;05807;Roma - III Università degli studi;Lazio;CENTRO;Laurea;09;Health and welfare;M;53
2023/2024;05807;Roma - III Università degli studi;Lazio;CENTRO;Laurea;07;Engineering, manufacturing and construction;F;1089
2023/2024;05807;Roma - III Università degli studi;Lazio;CENTRO;Laurea Magistrale Ciclo Unico;09;Health and welfare;M;13
2023/2024;05807;Roma - III Università degli studi;Lazio;CENTRO;Laurea Magistrale Ciclo Unico;09;Health and welfare;F;33
2023/2024;05807;Roma - III Università degli studi;Lazio;CENTRO;Laurea Magistrale;02;Arts and humanities;M;542
2023/2024;05807;Roma - III Università degli studi;Lazio;CENTRO;Laurea;08;Agriculture, forestry, fisheries and veterinary;M;119
2023/2024;05807;Roma - III Università degli studi;Lazio;CENTRO;Laurea;05;Natural sciences, mathematics and statistics;M;561
2023/2024;05807;Roma - III Università degli studi;Lazio;CENTRO;Laurea Magistrale;09;Health and welfare;F;158
2023/2024;05807;Roma - III Università degli studi;Lazio;CENTRO;Laurea Magistrale;04;Business, administration and law;F;403
2023/2024;05807;Roma - III Università degli studi;Lazio;CENTRO;Laurea;03;Social sciences, journalism and information;F;2502
2023/2024;05807;Roma - III Università degli studi;Lazio;CENTRO;Laurea;02;Arts and humanities;M;2067
2023/2024;05807;Roma - III Università degli studi;Lazio;CENTRO;Laurea Magistrale;03;Social sciences, journalism and information;M;488
2023/2024;05807;Roma - III Università degli studi;Lazio;CENTRO;Laurea Magistrale Ciclo Unico;01;Education;F;1602
2023/2024;05807;Roma - III Università degli studi;Lazio;CENTRO;Laurea;01;Education;F;3036
2023/2024;05807;Roma - III Università degli studi;Lazio;CENTRO;Laurea Magistrale;04;Business, administration and law;M;415
2023/2024;05807;Roma - III Università degli studi;Lazio;CENTRO;Laurea Magistrale;05;Natural sciences, mathematics and statistics;M;168
2023/2024;05807;Roma - III Università degli studi;Lazio;CENTRO;Laurea;04;Business, administration and law;F;1209
2023/2024;05807;Roma - III Università degli studi;Lazio;CENTRO;Laurea Magistrale;01;Education;F;788
2023/2024;05807;Roma - III Università degli studi;Lazio;CENTRO;Laurea Magistrale;07;Engineering, manufacturing and construction;M;693
2023/2024;05807;Roma - III Università degli studi;Lazio;CENTRO;Laurea;02;Arts and humanities;F;3747
2023/2024;05807;Roma - III Università degli studi;Lazio;CENTRO;Laurea;03;Social sciences, journalism and information;M;2265
